instant,dteday,season,year,month,holiday,day,weather,temp(°C),feels_like(°C),humidity,wind_speed,casual,registered,count_rental,category_day
18,2011-01-18,Spring,2011,Jan,0,Tuesday,Misty,8.88,11.62,86.17,0.146775,9,674,683,Weekday
19,2011-01-19,Spring,2011,Jan,0,Wednesday,Misty,11.98,14.92,74.17,0.208317,78,1572,1650,Weekday
20,2011-01-20,Spring,2011,Jan,0,Thursday,Misty,10.73,12.75,53.83,0.195904,83,1844,1927,Weekday
21,2011-01-21,Spring,2011,Jan,0,Friday,Clear,7.28,7.89,45.71,0.353242,75,1468,1543,Weekday
22,2011-01-22,Spring,2011,Jan,0,Saturday,Clear,2.42,3.95,40.0,0.17197,93,888,981,Weekend
23,2011-01-23,Spring,2011,Jan,0,Sunday,Clear,3.96,4.94,43.65,0.2466,150,836,986,Weekend
24,2011-01-24,Spring,2011,Jan,0,Monday,Clear,3.99,5.9,49.17,0.15833,86,1330,1416,Weekday
25,2011-01-25,Spring,2011,Jan,0,Tuesday,Misty,9.16,11.73,61.7,0.129796,186,1799,1985,Weekday
26,2011-01-26,Spring,2011,Jan,0,Wednesday,Light_Rain,8.92,10.18,86.25,0.29385,34,472,506,Weekday
27,2011-01-27,Spring,2011,Jan,0,Thursday,Clear,8.0,10.98,68.75,0.113837,15,416,431,Weekday
28,2011-01-28,Spring,2011,Jan,0,Friday,Misty,8.34,11.17,79.3,0.1233,38,1129,1167,Weekday
29,2011-01-29,Spring,2011,Jan,0,Saturday,Clear,8.06,10.61,65.17,0.145365,123,975,1098,Weekend
30,2011-01-30,Spring,2011,Jan,0,Sunday,Clear,8.88,12.52,72.22,0.0739826,140,956,1096,Weekend
31,2011-01-31,Spring,2011,Jan,0,Monday,Misty,7.41,9.31,60.38,0.187192,42,1459,1501,Weekday
32,2011-02-01,Spring,2011,Feb,0,Tuesday,Misty,7.88,11.73,82.96,0.053213,47,1313,1360,Weekday
33,2011-02-02,Spring,2011,Feb,0,Wednesday,Misty,10.66,12.72,77.54,0.264308,72,1454,1526,Weekday
34,2011-02-03,Spring,2011,Feb,0,Thursday,Clear,7.67,8.89,43.78,0.277752,61,1489,1550,Weekday
35,2011-02-04,Spring,2011,Feb,0,Friday,Misty,8.66,11.43,58.52,0.127839,88,1620,1708,Weekday
36,2011-02-05,Spring,2011,Feb,0,Saturday,Misty,9.57,12.15,92.92,0.161079,100,905,1005,Weekend
37,2011-02-06,Spring,2011,Feb,0,Sunday,Clear,11.72,14.58,56.83,0.1418,354,1269,1623,Weekend
38,2011-02-07,Spring,2011,Feb,0,Monday,Clear,11.14,15.18,73.83,0.0454083,120,1592,1712,Weekday
39,2011-02-08,Spring,2011,Feb,0,Tuesday,Clear,9.05,9.91,53.79,0.36195,64,1466,1530,Weekday
40,2011-02-09,Spring,2011,Feb,0,Wednesday,Misty,5.53,7.21,49.48,0.188839,53,1552,1605,Weekday
41,2011-02-10,Spring,2011,Feb,0,Thursday,Clear,5.92,7.48,43.74,0.221935,47,1491,1538,Weekday
42,2011-02-11,Spring,2011,Feb,0,Friday,Clear,7.75,10.68,50.64,0.10855,149,1597,1746,Weekday
43,2011-02-12,Spring,2011,Feb,0,Saturday,Clear,9.12,11.65,54.42,0.203367,288,1184,1472,Weekend
44,2011-02-13,Spring,2011,Feb,0,Sunday,Clear,12.98,16.21,45.74,0.260883,397,1192,1589,Weekend
45,2011-02-14,Spring,2011,Feb,0,Monday,Clear,17.02,19.92,37.58,0.417908,208,1705,1913,Weekday
46,2011-02-15,Spring,2011,Feb,0,Tuesday,Clear,10.91,12.71,31.43,0.291374,140,1675,1815,Weekday
47,2011-02-16,Spring,2011,Feb,0,Wednesday,Clear,13.05,15.81,42.35,0.251791,218,1897,2115,Weekday
48,2011-02-17,Spring,2011,Feb,0,Thursday,Clear,17.87,21.43,50.5,0.230104,259,2216,2475,Weekday
49,2011-02-18,Spring,2011,Feb,0,Friday,Clear,21.39,25.6,51.67,0.264925,579,2348,2927,Weekday
50,2011-02-19,Spring,2011,Feb,0,Saturday,Clear,16.37,19.57,18.79,0.507463,532,1103,1635,Weekend
51,2011-02-20,Spring,2011,Feb,0,Sunday,Clear,11.69,13.87,40.78,0.223235,639,1173,1812,Weekend
52,2011-02-21,Spring,2011,Feb,1,Monday,Misty,12.44,14.2,60.5,0.307846,195,912,1107,Weekday
53,2011-02-22,Spring,2011,Feb,0,Tuesday,Clear,7.47,9.3,57.78,0.195683,74,1376,1450,Weekday
54,2011-02-23,Spring,2011,Feb,0,Wednesday,Clear,9.09,12.29,42.3,0.094113,139,1778,1917,Weekday
55,2011-02-24,Spring,2011,Feb,0,Thursday,Misty,12.12,14.46,69.74,0.250496,100,1707,1807,Weekday
56,2011-02-25,Spring,2011,Feb,0,Friday,Misty,14.94,17.52,71.22,0.346539,120,1341,1461,Weekday
57,2011-02-26,Spring,2011,Feb,0,Saturday,Clear,11.58,14.11,53.79,0.186571,424,1545,1969,Weekend
58,2011-02-27,Spring,2011,Feb,0,Sunday,Clear,14.08,17.56,68.0,0.125248,694,1708,2402,Weekend
59,2011-02-28,Spring,2011,Feb,0,Monday,Misty,16.7,20.01,87.64,0.289686,81,1365,1446,Weekday
60,2011-03-01,Spring,2011,Mar,0,Tuesday,Clear,10.93,13.19,53.5,0.216425,137,1714,1851,Weekday
61,2011-03-02,Spring,2011,Mar,0,Wednesday,Clear,13.74,16.0,44.96,0.307833,231,1903,2134,Weekday
62,2011-03-03,Spring,2011,Mar,0,Thursday,Clear,8.13,10.01,31.83,0.225754,123,1562,1685,Weekday
63,2011-03-04,Spring,2011,Mar,0,Friday,Misty,10.73,12.78,61.04,0.203346,214,1730,1944,Weekday
64,2011-03-05,Spring,2011,Mar,0,Saturday,Misty,15.75,18.94,78.92,0.251871,640,1437,2077,Weekend
65,2011-03-06,Spring,2011,Mar,0,Sunday,Misty,15.44,18.31,94.83,0.343287,114,491,605,Weekend
66,2011-03-07,Spring,2011,Mar,0,Monday,Clear,10.73,11.92,55.13,0.341352,244,1628,1872,Weekday
67,2011-03-08,Spring,2011,Mar,0,Tuesday,Clear,11.99,15.12,42.08,0.12065,316,1817,2133,Weekday
68,2011-03-09,Spring,2011,Mar,0,Wednesday,Misty,12.13,14.33,77.54,0.22015,191,1700,1891,Weekday
69,2011-03-10,Spring,2011,Mar,0,Thursday,Light_Rain,15.95,19.28,0.0,0.261877,46,577,623,Weekday
70,2011-03-11,Spring,2011,Mar,0,Friday,Misty,12.98,15.25,64.96,0.23297,247,1730,1977,Weekday
71,2011-03-12,Spring,2011,Mar,0,Saturday,Clear,13.5,16.29,59.46,0.220775,724,1408,2132,Weekend
72,2011-03-13,Spring,2011,Mar,0,Sunday,Clear,15.76,19.0,52.74,0.270604,982,1435,2417,Weekend
73,2011-03-14,Spring,2011,Mar,0,Monday,Clear,13.33,16.6,49.7,0.136926,359,1687,2046,Weekday
74,2011-03-15,Spring,2011,Mar,0,Tuesday,Misty,13.01,15.91,65.57,0.184309,289,1767,2056,Weekday
75,2011-03-16,Spring,2011,Mar,0,Wednesday,Misty,14.97,18.35,77.65,0.203117,321,1871,2192,Weekday
76,2011-03-17,Spring,2011,Mar,0,Thursday,Clear,17.02,20.52,60.29,0.209579,424,2320,2744,Weekday
77,2011-03-18,Spring,2011,Mar,0,Friday,Clear,22.14,26.35,52.52,0.231017,884,2355,3239,Weekday
78,2011-03-19,Spring,2011,Mar,0,Saturday,Clear,19.37,23.33,37.92,0.368167,1424,1693,3117,Weekend
79,2011-03-20,Spring,2011,Mar,0,Sunday,Clear,13.63,16.29,47.38,0.207721,1047,1424,2471,Weekend
80,2011-03-21,Summer,2011,Mar,0,Monday,Misty,17.65,20.49,73.74,0.288783,401,1676,2077,Weekday
81,2011-03-22,Summer,2011,Mar,0,Tuesday,Clear,18.11,22.03,62.46,0.22575,460,2243,2703,Weekday
82,2011-03-23,Summer,2011,Mar,0,Wednesday,Misty,14.23,16.9,83.96,0.234261,203,1918,2121,Weekday
83,2011-03-24,Summer,2011,Mar,0,Thursday,Misty,11.68,13.54,80.58,0.243787,166,1699,1865,Weekday
84,2011-03-25,Summer,2011,Mar,0,Friday,Clear,10.83,12.82,49.5,0.230725,300,1910,2210,Weekday
85,2011-03-26,Summer,2011,Mar,0,Saturday,Clear,10.9,12.88,39.42,0.209571,981,1515,2496,Weekend
86,2011-03-27,Summer,2011,Mar,0,Sunday,Misty,10.37,12.52,49.39,0.1843,472,1221,1693,Weekend
87,2011-03-28,Summer,2011,Mar,0,Monday,Clear,10.84,12.88,30.22,0.212204,222,1806,2028,Weekday
88,2011-03-29,Summer,2011,Mar,0,Tuesday,Clear,12.4,14.65,31.42,0.226996,317,2108,2425,Weekday
89,2011-03-30,Summer,2011,Mar,0,Wednesday,Misty,12.3,14.87,64.67,0.172888,168,1368,1536,Weekday
90,2011-03-31,Summer,2011,Mar,0,Thursday,Light_Rain,11.0,12.88,91.83,0.217646,179,1506,1685,Weekday
91,2011-04-01,Summer,2011,Apr,0,Friday,Misty,12.3,14.17,68.62,0.258708,307,1920,2227,Weekday
92,2011-04-02,Summer,2011,Apr,0,Saturday,Misty,12.92,15.78,65.38,0.197146,898,1354,2252,Weekend
93,2011-04-03,Summer,2011,Apr,0,Sunday,Clear,15.51,18.94,48.0,0.182213,1651,1598,3249,Weekend
94,2011-04-04,Summer,2011,Apr,0,Monday,Clear,23.51,27.15,42.62,0.385571,734,2381,3115,Weekday
95,2011-04-05,Summer,2011,Apr,0,Tuesday,Misty,16.98,19.92,64.21,0.388067,167,1628,1795,Weekday
96,2011-04-06,Summer,2011,Apr,0,Wednesday,Clear,16.02,19.38,47.08,0.263063,413,2395,2808,Weekday
97,2011-04-07,Summer,2011,Apr,0,Thursday,Clear,17.94,21.68,60.29,0.162312,571,2570,3141,Weekday
98,2011-04-08,Summer,2011,Apr,0,Friday,Misty,13.77,16.22,83.62,0.226992,172,1299,1471,Weekday
99,2011-04-09,Summer,2011,Apr,0,Saturday,Misty,14.04,17.08,87.75,0.133083,879,1576,2455,Weekend
100,2011-04-10,Summer,2011,Apr,0,Sunday,Misty,17.49,21.34,85.75,0.146767,1188,1707,2895,Weekend
101,2011-04-11,Summer,2011,Apr,0,Monday,Misty,24.42,28.26,71.7,0.324474,855,2493,3348,Weekday
102,2011-04-12,Summer,2011,Apr,0,Tuesday,Misty,20.6,24.65,73.92,0.274879,257,1777,2034,Weekday
103,2011-04-13,Summer,2011,Apr,0,Wednesday,Misty,16.91,20.86,81.92,0.250617,209,1953,2162,Weekday
104,2011-04-14,Summer,2011,Apr,0,Thursday,Clear,19.17,23.14,54.04,0.1107,529,2738,3267,Weekday
105,2011-04-15,Summer,2011,Apr,1,Friday,Clear,18.31,22.1,67.12,0.226375,642,2484,3126,Weekday
106,2011-04-16,Summer,2011,Apr,0,Saturday,Light_Rain,17.66,21.27,88.83,0.340808,121,674,795,Weekend
107,2011-04-17,Summer,2011,Apr,0,Sunday,Clear,18.72,22.28,47.96,0.303496,1558,2186,3744,Weekend
108,2011-04-18,Summer,2011,Apr,0,Monday,Clear,21.01,25.16,54.25,0.163567,669,2760,3429,Weekday
109,2011-04-19,Summer,2011,Apr,0,Tuesday,Misty,20.74,24.46,66.58,0.157971,409,2795,3204,Weekday
110,2011-04-20,Summer,2011,Apr,0,Wednesday,Clear,24.4,28.22,61.42,0.241925,613,3331,3944,Weekday
111,2011-04-21,Summer,2011,Apr,0,Thursday,Clear,18.83,22.69,40.71,0.325258,745,3444,4189,Weekday
112,2011-04-22,Summer,2011,Apr,0,Friday,Misty,13.8,16.1,72.96,0.219521,177,1506,1683,Weekday
113,2011-04-23,Summer,2011,Apr,0,Saturday,Misty,18.86,22.51,88.79,0.230725,1462,2574,4036,Weekend
114,2011-04-24,Summer,2011,Apr,0,Sunday,Misty,23.85,27.59,81.08,0.192175,1710,2481,4191,Weekend
115,2011-04-25,Summer,2011,Apr,0,Monday,Clear,24.87,28.72,77.67,0.185333,773,3300,4073,Weekday
116,2011-04-26,Summer,2011,Apr,0,Tuesday,Clear,25.9,29.7,72.92,0.3265,678,3722,4400,Weekday
117,2011-04-27,Summer,2011,Apr,0,Wednesday,Misty,25.42,28.76,83.54,0.3122,547,3325,3872,Weekday
118,2011-04-28,Summer,2011,Apr,0,Thursday,Misty,25.32,28.95,70.08,0.320908,569,3489,4058,Weekday
119,2011-04-29,Summer,2011,Apr,0,Friday,Clear,20.91,24.87,45.71,0.240063,878,3717,4595,Weekday
120,2011-04-30,Summer,2011,Apr,0,Saturday,Clear,19.37,23.2,50.33,0.235075,1965,3347,5312,Weekend
121,2011-05-01,Summer,2011,May,0,Sunday,Misty,18.52,22.41,76.21,0.106354,1138,2213,3351,Weekend
122,2011-05-02,Summer,2011,May,0,Monday,Misty,22.52,26.64,73.0,0.183454,847,3554,4401,Weekday
123,2011-05-03,Summer,2011,May,0,Tuesday,Misty,25.28,29.1,69.71,0.342667,603,3848,4451,Weekday
124,2011-05-04,Summer,2011,May,0,Wednesday,Misty,16.98,20.23,73.71,0.328996,255,2378,2633,Weekday
125,2011-05-05,Summer,2011,May,0,Thursday,Clear,18.83,22.1,44.42,0.295392,614,3819,4433,Weekday
126,2011-05-06,Summer,2011,May,0,Friday,Clear,19.65,23.71,59.0,0.228246,894,3714,4608,Weekday
127,2011-05-07,Summer,2011,May,0,Saturday,Clear,21.32,25.63,54.12,0.16045,1612,3102,4714,Weekend
128,2011-05-08,Summer,2011,May,0,Sunday,Clear,21.66,25.95,63.17,0.0746375,1401,2932,4333,Weekend
129,2011-05-09,Summer,2011,May,0,Monday,Clear,21.83,26.26,58.88,0.176,664,3698,4362,Weekday
130,2011-05-10,Summer,2011,May,0,Tuesday,Clear,21.83,26.14,48.92,0.115671,694,4109,4803,Weekday
131,2011-05-11,Summer,2011,May,0,Wednesday,Clear,22.24,26.42,63.29,0.120642,550,3632,4182,Weekday
132,2011-05-12,Summer,2011,May,0,Thursday,Clear,21.94,26.17,74.75,0.189667,695,4169,4864,Weekday
133,2011-05-13,Summer,2011,May,0,Friday,Misty,21.01,24.72,86.33,0.179725,692,3413,4105,Weekday
134,2011-05-14,Summer,2011,May,0,Saturday,Misty,21.35,25.03,92.25,0.13495,902,2507,3409,Weekend
135,2011-05-15,Summer,2011,May,0,Sunday,Misty,23.06,26.8,86.71,0.152979,1582,2971,4553,Weekend
136,2011-05-16,Summer,2011,May,0,Monday,Clear,23.68,27.53,78.79,0.126871,773,3185,3958,Weekday
137,2011-05-17,Summer,2011,May,0,Tuesday,Misty,23.03,26.93,83.79,0.277354,678,3445,4123,Weekday
138,2011-05-18,Summer,2011,May,0,Wednesday,Misty,22.55,26.36,87.0,0.201492,536,3319,3855,Weekday
139,2011-05-19,Summer,2011,May,0,Thursday,Misty,21.76,25.54,82.96,0.108213,735,3840,4575,Weekday
140,2011-05-20,Summer,2011,May,0,Friday,Clear,22.0,26.45,71.96,0.125013,909,4008,4917,Weekday
141,2011-05-21,Summer,2011,May,0,Saturday,Clear,24.7,28.6,62.67,0.12065,2258,3547,5805,Weekend
142,2011-05-22,Summer,2011,May,0,Sunday,Clear,24.77,28.72,74.96,0.148008,1576,3084,4660,Weekend
143,2011-05-23,Summer,2011,May,0,Monday,Misty,25.9,29.51,81.0,0.233842,836,3438,4274,Weekday
144,2011-05-24,Summer,2011,May,0,Tuesday,Misty,27.06,30.24,74.08,0.207092,659,3833,4492,Weekday
145,2011-05-25,Summer,2011,May,0,Wednesday,Clear,27.09,30.78,69.62,0.154233,740,4238,4978,Weekday
146,2011-05-26,Summer,2011,May,0,Thursday,Clear,29.04,32.73,67.75,0.199642,758,3919,4677,Weekday
147,2011-05-27,Summer,2011,May,0,Friday,Clear,27.95,31.85,65.38,0.240679,871,3808,4679,Weekday
148,2011-05-28,Summer,2011,May,0,Saturday,Clear,26.89,30.62,72.96,0.230092,2001,2757,4758,Weekend
149,2011-05-29,Summer,2011,May,0,Sunday,Clear,27.37,30.78,81.88,0.213938,2355,2433,4788,Weekend
150,2011-05-30,Summer,2011,May,1,Monday,Clear,30.07,33.55,68.5,0.131225,1549,2549,4098,Weekday
151,2011-05-31,Summer,2011,May,0,Tuesday,Clear,31.78,36.27,63.67,0.111329,673,3309,3982,Weekday
152,2011-06-01,Summer,2011,Jun,0,Wednesday,Misty,31.33,36.05,67.71,0.207092,513,3461,3974,Weekday
153,2011-06-02,Summer,2011,Jun,0,Thursday,Clear,29.32,32.2,30.5,0.292287,736,4232,4968,Weekday
154,2011-06-03,Summer,2011,Jun,0,Friday,Clear,25.42,29.36,35.42,0.253121,898,4414,5312,Weekday
155,2011-06-04,Summer,2011,Jun,0,Saturday,Clear,26.04,29.73,45.62,0.123142,1869,3473,5342,Weekend
156,2011-06-05,Summer,2011,Jun,0,Sunday,Misty,26.58,30.84,65.25,0.138692,1685,3221,4906,Weekend
157,2011-06-06,Summer,2011,Jun,0,Monday,Clear,27.81,31.09,60.0,0.121896,673,3875,4548,Weekday
158,2011-06-07,Summer,2011,Jun,0,Tuesday,Clear,29.01,32.8,59.79,0.187808,763,4070,4833,Weekday
159,2011-06-08,Summer,2011,Jun,0,Wednesday,Clear,31.81,36.36,62.21,0.136817,676,3725,4401,Weekday
160,2011-06-09,Summer,2011,Jun,0,Thursday,Misty,33.14,37.88,56.83,0.149883,563,3352,3915,Weekday
161,2011-06-10,Summer,2011,Jun,0,Friday,Clear,30.96,35.16,60.5,0.140554,815,3771,4586,Weekday
162,2011-06-11,Summer,2011,Jun,0,Saturday,Clear,29.72,33.9,65.46,0.15485,1729,3237,4966,Weekend
163,2011-06-12,Summer,2011,Jun,0,Sunday,Clear,28.39,32.17,74.79,0.163567,1467,2993,4460,Weekend
164,2011-06-13,Summer,2011,Jun,0,Monday,Clear,26.04,30.08,49.46,0.30535,863,4157,5020,Weekday
165,2011-06-14,Summer,2011,Jun,0,Tuesday,Clear,24.77,29.58,50.71,0.269283,727,4164,4891,Weekday
166,2011-06-15,Summer,2011,Jun,0,Wednesday,Clear,25.69,29.39,47.17,0.167912,769,4411,5180,Weekday
167,2011-06-16,Summer,2011,Jun,0,Thursday,Misty,25.76,29.77,68.83,0.206471,545,3222,3767,Weekday
168,2011-06-17,Summer,2011,Jun,0,Friday,Clear,26.62,30.02,73.58,0.143029,863,3981,4844,Weekday
169,2011-06-18,Summer,2011,Jun,0,Saturday,Clear,28.56,32.2,67.04,0.119408,1807,3312,5119,Weekend
170,2011-06-19,Summer,2011,Jun,0,Sunday,Misty,28.67,32.29,66.67,0.102,1639,3105,4744,Weekend
171,2011-06-20,Summer,2011,Jun,0,Monday,Misty,26.04,29.77,74.62,0.155475,699,3311,4010,Weekday
172,2011-06-21,Fall,2011,Jun,0,Tuesday,Misty,27.91,31.88,77.04,0.171025,774,4061,4835,Weekday
173,2011-06-22,Fall,2011,Jun,0,Wednesday,Clear,30.07,34.69,70.75,0.172262,661,3846,4507,Weekday
174,2011-06-23,Fall,2011,Jun,0,Thursday,Misty,29.86,34.69,70.33,0.238804,746,4044,4790,Weekday
175,2011-06-24,Fall,2011,Jun,0,Friday,Clear,29.69,32.83,57.33,0.222025,969,4022,4991,Weekday
176,2011-06-25,Fall,2011,Jun,0,Saturday,Clear,28.49,32.17,48.33,0.209571,1782,3420,5202,Weekend
177,2011-06-26,Fall,2011,Jun,0,Sunday,Clear,27.88,31.88,51.33,0.0945333,1920,3385,5305,Weekend
178,2011-06-27,Fall,2011,Jun,0,Monday,Misty,27.98,31.85,65.83,0.107588,854,3854,4708,Weekday
179,2011-06-28,Fall,2011,Jun,0,Tuesday,Clear,30.51,34.63,63.42,0.144283,732,3916,4648,Weekday
180,2011-06-29,Fall,2011,Jun,0,Wednesday,Clear,29.86,32.73,49.79,0.261821,848,4377,5225,Weekday
181,2011-06-30,Fall,2011,Jun,0,Thursday,Clear,28.56,31.85,43.42,0.185312,1027,4488,5515,Weekday
182,2011-07-01,Fall,2011,Jul,0,Friday,Clear,29.62,32.61,39.62,0.102608,1246,4116,5362,Weekday
183,2011-07-02,Fall,2011,Jul,0,Saturday,Clear,30.27,33.37,44.46,0.115062,2204,2915,5119,Weekend
184,2011-07-03,Fall,2011,Jul,0,Sunday,Misty,29.38,33.43,68.25,0.228858,2282,2367,4649,Weekend
185,2011-07-04,Fall,2011,Jul,1,Monday,Misty,29.79,33.27,63.79,0.0814792,3065,2978,6043,Weekday
186,2011-07-05,Fall,2011,Jul,0,Tuesday,Clear,30.61,34.82,59.04,0.126258,1031,3634,4665,Weekday
187,2011-07-06,Fall,2011,Jul,0,Wednesday,Clear,29.52,34.28,74.33,0.149883,784,3845,4629,Weekday
188,2011-07-07,Fall,2011,Jul,0,Thursday,Clear,30.75,34.34,65.12,0.1592,754,3838,4592,Weekday
189,2011-07-08,Fall,2011,Jul,0,Friday,Misty,29.08,33.52,75.79,0.225129,692,3348,4040,Weekday
190,2011-07-09,Fall,2011,Jul,0,Saturday,Clear,30.07,33.21,60.92,0.167912,1988,3348,5336,Weekend
191,2011-07-10,Fall,2011,Jul,0,Sunday,Clear,30.65,34.5,57.83,0.183471,1743,3138,4881,Weekend
192,2011-07-11,Fall,2011,Jul,0,Monday,Clear,31.26,36.49,63.58,0.282337,723,3363,4086,Weekday
193,2011-07-12,Fall,2011,Jul,0,Tuesday,Clear,32.56,36.96,55.92,0.200254,662,3596,4258,Weekday
194,2011-07-13,Fall,2011,Jul,0,Wednesday,Clear,30.61,34.47,63.17,0.146133,748,3594,4342,Weekday
195,2011-07-14,Fall,2011,Jul,0,Thursday,Clear,27.91,31.76,47.62,0.240667,888,4196,5084,Weekday
196,2011-07-15,Fall,2011,Jul,0,Friday,Clear,27.2,31.22,59.13,0.182833,1318,4220,5538,Weekday
197,2011-07-16,Fall,2011,Jul,0,Saturday,Clear,28.15,31.91,58.5,0.208342,2418,3505,5923,Weekend
198,2011-07-17,Fall,2011,Jul,0,Sunday,Clear,29.49,33.49,60.42,0.245033,2006,3296,5302,Weekend
199,2011-07-18,Fall,2011,Jul,0,Monday,Clear,30.61,35.2,65.12,0.215804,841,3617,4458,Weekday
200,2011-07-19,Fall,2011,Jul,0,Tuesday,Clear,31.84,37.37,65.04,0.1306,752,3789,4541,Weekday
201,2011-07-20,Fall,2011,Jul,0,Wednesday,Clear,31.5,37.34,70.71,0.113817,644,3688,4332,Weekday
202,2011-07-21,Fall,2011,Jul,0,Thursday,Misty,33.42,41.32,69.12,0.222021,632,3152,3784,Weekday
203,2011-07-22,Fall,2011,Jul,0,Friday,Clear,34.78,42.04,58.04,0.1331,562,2825,3387,Weekday
204,2011-07-23,Fall,2011,Jul,0,Saturday,Clear,34.82,40.21,50.0,0.131221,987,2298,3285,Weekend
205,2011-07-24,Fall,2011,Jul,0,Sunday,Clear,34.03,39.74,55.08,0.169171,1050,2556,3606,Weekend
206,2011-07-25,Fall,2011,Jul,0,Monday,Clear,30.48,36.05,75.71,0.0908083,568,3272,3840,Weekday
207,2011-07-26,Fall,2011,Jul,0,Tuesday,Clear,31.64,34.85,54.08,0.200258,750,3840,4590,Weekday
208,2011-07-27,Fall,2011,Jul,0,Wednesday,Clear,31.78,34.53,40.29,0.183463,755,3901,4656,Weekday
209,2011-07-28,Fall,2011,Jul,0,Thursday,Clear,31.95,36.99,58.33,0.178479,606,3784,4390,Weekday
210,2011-07-29,Fall,2011,Jul,0,Friday,Clear,34.37,39.3,54.25,0.174138,670,3176,3846,Weekday
211,2011-07-30,Fall,2011,Jul,0,Saturday,Clear,32.97,36.43,46.58,0.168537,1559,2916,4475,Weekend
212,2011-07-31,Fall,2011,Jul,0,Sunday,Clear,33.04,36.49,48.08,0.164813,1524,2778,4302,Weekend
213,2011-08-01,Fall,2011,Aug,0,Monday,Clear,31.64,35.16,55.08,0.156717,729,3537,4266,Weekday
214,2011-08-02,Fall,2011,Aug,0,Tuesday,Clear,32.12,35.35,49.12,0.20585,801,4044,4845,Weekday
215,2011-08-03,Fall,2011,Aug,0,Wednesday,Misty,30.0,34.0,65.75,0.135583,467,3107,3574,Weekday
216,2011-08-04,Fall,2011,Aug,0,Thursday,Misty,29.11,33.24,75.75,0.19715,799,3777,4576,Weekday
217,2011-08-05,Fall,2011,Aug,0,Friday,Clear,29.14,32.83,63.08,0.184696,1023,3843,4866,Weekday
218,2011-08-06,Fall,2011,Aug,0,Saturday,Misty,29.38,33.81,75.5,0.22825,1521,2773,4294,Weekend
219,2011-08-07,Fall,2011,Aug,0,Sunday,Clear,30.44,35.76,75.29,0.201487,1298,2487,3785,Weekend
220,2011-08-08,Fall,2011,Aug,0,Monday,Clear,31.36,35.16,59.21,0.192175,846,3480,4326,Weekday
221,2011-08-09,Fall,2011,Aug,0,Tuesday,Clear,31.78,36.21,57.04,0.151121,907,3695,4602,Weekday
222,2011-08-10,Fall,2011,Aug,0,Wednesday,Clear,31.43,34.25,42.42,0.200258,884,3896,4780,Weekday
223,2011-08-11,Fall,2011,Aug,0,Thursday,Clear,29.42,32.58,42.38,0.164796,812,3980,4792,Weekday
224,2011-08-12,Fall,2011,Aug,0,Friday,Clear,29.04,32.7,41.5,0.125621,1051,3854,4905,Weekday
225,2011-08-13,Fall,2011,Aug,0,Saturday,Misty,28.12,32.29,72.96,0.211454,1504,2646,4150,Weekend
226,2011-08-14,Fall,2011,Aug,0,Sunday,Misty,27.74,31.22,81.75,0.222633,1338,2482,3820,Weekend
227,2011-08-15,Fall,2011,Aug,0,Monday,Clear,27.3,30.81,71.21,0.208954,775,3563,4338,Weekday
228,2011-08-16,Fall,2011,Aug,0,Tuesday,Clear,28.73,32.29,57.83,0.236329,721,4004,4725,Weekday
